ai_X_level,ai_O_level,starting_player,winner,moves,duration_s
1,2,O,Tie,9,0.000132
1,2,O,O,5,0.000071
1,2,O,O,7,0.000079
1,2,O,O,5,0.000062
1,2,O,O,5,0.000076
1,2,O,O,5,0.000062
1,2,O,O,7,0.000130
1,2,O,O,5,0.000062
1,2,O,O,5,0.000057
1,2,O,O,7,0.000090
1,2,O,O,7,0.000098
1,2,O,O,5,0.000052
1,2,O,O,5,0.000072
1,2,O,O,5,0.000053
1,2,O,O,7,0.000137
1,2,O,O,5,0.000065
1,2,O,O,7,0.000098
1,2,O,O,7,0.000086
1,2,O,O,7,0.000123
1,2,O,O,5,0.000062
1,2,O,O,5,0.000111
1,2,O,O,5,0.000053
1,2,O,O,7,0.000099
1,2,O,O,5,0.000066
1,2,O,O,5,0.000064
1,2,O,O,5,0.000081
1,2,O,O,5,0.000064
1,2,O,O,5,0.000082
1,2,O,O,5,0.000061
1,2,O,O,5,0.000056
1,2,O,O,5,0.000055
1,2,O,O,7,0.000109
1,2,O,O,5,0.000067
1,2,O,O,7,0.000092
1,2,O,O,7,0.000162
1,2,O,O,5,0.000084
1,2,O,O,5,0.000083
1,2,O,O,5,0.000070
1,2,O,O,5,0.000079
1,2,O,O,5,0.000063
1,2,O,O,7,0.000126
1,2,O,O,5,0.000062
1,2,O,O,5,0.000056
1,2,O,O,5,0.000081
1,2,O,O,7,0.000108
1,2,O,O,5,0.000104
1,2,O,O,5,0.000065
1,2,O,O,5,0.000094
1,2,O,O,5,0.000101
1,2,O,O,5,0.000064
1,2,O,O,5,0.000066
1,2,O,O,5,0.000084
1,2,O,O,5,0.000096
1,2,O,O,7,0.000097
1,2,O,Tie,9,0.000180
1,2,O,O,5,0.000060
1,2,O,O,7,0.000104
1,2,O,O,7,0.000118
1,2,O,O,5,0.000061
1,2,O,O,7,0.000131
1,2,O,O,7,0.000100
1,2,O,O,5,0.000061
1,2,O,Tie,9,0.000137
1,2,O,O,5,0.000078
1,2,O,O,5,0.000060
1,2,O,O,5,0.000104
1,2,O,O,5,0.000067
1,2,O,O,5,0.000068
1,3,X,Tie,9,0.014497
1,3,X,Tie,9,0.031145
1,3,X,Tie,9,0.024712
1,3,X,O,6,0.021421
1,3,X,O,8,0.033396
1,3,X,O,8,0.024676
1,3,X,O,8,0.020125
1,3,X,O,6,0.049660
1,3,X,O,8,0.041358
1,3,X,O,6,0.024674
1,3,X,O,8,0.028509
1,3,X,O,6,0.026596
1,3,X,O,6,0.025158
1,3,X,O,8,0.020523
1,3,X,O,6,0.025997
1,3,X,O,6,0.014971
1,3,X,O,6,0.024968
1,3,X,Tie,9,0.019081
1,3,X,Tie,9,0.015980
1,3,X,O,8,0.055310
1,3,X,O,8,0.032426
1,3,X,O,8,0.023662
1,3,X,O,8,0.014723
1,3,X,O,8,0.021186
1,3,X,O,6,0.024678
1,3,X,O,6,0.023756
1,3,X,Tie,9,0.025129
1,3,X,O,8,0.022225
1,3,X,O,6,0.020832
1,3,X,O,8,0.024915
1,3,X,O,6,0.076533
1,3,X,O,8,0.033644
1,3,X,O,6,0.021676
1,3,X,O,8,0.020782
1,3,X,Tie,9,0.023158
1,3,X,O,6,0.022488
1,3,X,O,6,0.022399
1,3,X,O,8,0.016518
1,3,X,O,6,0.021854
1,3,X,O,6,0.015993
1,3,X,Tie,9,0.067493
1,3,X,O,8,0.025873
1,3,X,O,8,0.022603
1,3,X,O,8,0.024602
1,3,X,O,6,0.023815
1,3,X,O,8,0.014850
1,3,X,O,8,0.020055
1,3,X,O,6,0.024910
1,3,X,O,6,0.025376
1,3,X,Tie,9,0.034527
